DATE,WLEMUINDXD
2014-07-01,10.28000
2014-07-02,8.43000
2014-07-03,34.65000
2014-07-04,11.47000
2014-07-05,14.88000
2014-07-06,79.07000
2014-07-07,13.43000
2014-07-08,9.58000
2014-07-09,7.79000
2014-07-10,6.68000
2014-07-11,41.16000
2014-07-12,13.13000
2014-07-13,21.43000
2014-07-14,37.73000
2014-07-15,9.74000
2014-07-16,15.69000
2014-07-17,6.37000
2014-07-18,32.77000
2014-07-19,115.38000
2014-07-20,10.50000
2014-07-21,12.58000
2014-07-22,9.32000
2014-07-23,7.68000
2014-07-24,6.42000
2014-07-25,8.21000
2014-07-26,74.69000
2014-07-27,51.76000
2014-07-28,12.99000
2014-07-29,19.49000
2014-07-30,7.88000
2014-07-31,32.83000
2014-08-01,16.36000
2014-08-02,88.61000
2014-08-03,62.77000
2014-08-04,25.63000
2014-08-05,9.58000
2014-08-06,7.75000
2014-08-07,7.28000
2014-08-08,14.68000
2014-08-09,13.06000
2014-08-10,10.54000
2014-08-11,13.07000
2014-08-12,9.61000
2014-08-13,7.88000
2014-08-14,6.35000
2014-08-15,8.07000
2014-08-16,24.94000
2014-08-17,10.37000
2014-08-18,12.82000
2014-08-19,9.54000
2014-08-20,7.78000
2014-08-21,6.40000
2014-08-22,7.80000
2014-08-23,109.03000
2014-08-24,29.27000
2014-08-25,26.10000
2014-08-26,9.46000
2014-08-27,7.53000
2014-08-28,6.47000
2014-08-29,62.76000
2014-08-30,11.78000
2014-08-31,10.34000
2014-09-01,17.75000
2014-09-02,10.42000
2014-09-03,7.70000
2014-09-04,6.47000
2014-09-05,7.79000
2014-09-06,11.23000
2014-09-07,29.71000
2014-09-08,12.31000
2014-09-09,9.02000
2014-09-10,7.25000
2014-09-11,12.54000
2014-09-12,7.64000
2014-09-13,10.97000
2014-09-14,9.76000
2014-09-15,12.35000
2014-09-16,9.04000
2014-09-17,28.42000
2014-09-18,6.25000
2014-09-19,15.03000
2014-09-20,98.08000
2014-09-21,19.25000
2014-09-22,12.05000
2014-09-23,79.78000
2014-09-24,60.04000
2014-09-25,6.23000
2014-09-26,7.56000
2014-09-27,10.71000
2014-09-28,9.85000
2014-09-29,12.10000
2014-09-30,44.64000
2014-10-01,21.84000
2014-10-02,19.45000
2014-10-03,7.53000
2014-10-04,10.98000
2014-10-05,9.62000
2014-10-06,11.88000
2014-10-07,54.57000
2014-10-08,7.23000
2014-10-09,25.72000
2014-10-10,113.77000
2014-10-11,32.98000
2014-10-12,29.31000
2014-10-13,24.56000
2014-10-14,9.09000
2014-10-15,14.47000
2014-10-16,45.37000
2014-10-17,83.92000
2014-10-18,21.84000
2014-10-19,9.69000
2014-10-20,11.96000
2014-10-21,26.71000
2014-10-22,28.07000
2014-10-23,6.60000
2014-10-24,15.19000
2014-10-25,21.61000
2014-10-26,27.06000
2014-10-27,33.76000
2014-10-28,9.00000
2014-10-29,21.58000
2014-10-30,24.41000
2014-10-31,7.50000
2014-11-01,10.87000
2014-11-02,9.64000
2014-11-03,24.16000
2014-11-04,9.03000
2014-11-05,7.01000
2014-11-06,6.20000
2014-11-07,7.84000
2014-11-08,11.49000
2014-11-09,19.70000
2014-11-10,11.99000
2014-11-11,19.17000
2014-11-12,7.68000
2014-11-13,12.34000
2014-11-14,15.58000
2014-11-15,11.45000
2014-11-16,29.80000
2014-11-17,11.98000
2014-11-18,9.24000
2014-11-19,7.49000
2014-11-20,6.34000
2014-11-21,8.00000
2014-11-22,11.58000
2014-11-23,9.92000
2014-11-24,36.39000
2014-11-25,18.63000
2014-11-26,7.82000
2014-11-27,17.74000
2014-11-28,9.85000
2014-11-29,13.10000
2014-11-30,10.73000
2014-12-01,12.07000
2014-12-02,9.35000
2014-12-03,7.59000
2014-12-04,12.95000
2014-12-05,15.79000
2014-12-06,11.85000
2014-12-07,20.12000
2014-12-08,24.09000
2014-12-09,8.98000
2014-12-10,14.79000
2014-12-11,6.44000
2014-12-12,31.89000
2014-12-13,11.86000
2014-12-14,51.64000
2014-12-15,12.13000
2014-12-16,9.14000
2014-12-17,45.86000
2014-12-18,85.59000
2014-12-19,15.75000
2014-12-20,12.23000
2014-12-21,10.61000
2014-12-22,12.53000
2014-12-23,9.82000
2014-12-24,17.29000
2014-12-25,11.40000
2014-12-26,10.80000
2014-12-27,13.85000
2014-12-28,32.98000
2014-12-29,12.87000
2014-12-30,30.10000
2014-12-31,101.77000
2015-01-01,54.58000
2015-01-02,20.38000
2015-01-03,65.17000
2015-01-04,64.23000
2015-01-05,12.53000
2015-01-06,9.34000
2015-01-07,14.97000
2015-01-08,26.03000
2015-01-09,7.76000
2015-01-10,11.87000
2015-01-11,19.88000
2015-01-12,11.86000
2015-01-13,8.98000
2015-01-14,7.20000
2015-01-15,12.79000
2015-01-16,15.58000
2015-01-17,22.76000
2015-01-18,28.66000
2015-01-19,25.12000
2015-01-20,18.38000
2015-01-21,57.01000
2015-01-22,30.68000
2015-01-23,15.40000
2015-01-24,34.23000
2015-01-25,19.69000
2015-01-26,11.86000
2015-01-27,45.21000
2015-01-28,14.93000
2015-01-29,6.40000
2015-01-30,115.71000
2015-01-31,67.26000
2015-02-01,9.71000
2015-02-02,12.27000
2015-02-03,9.06000
2015-02-04,7.33000
2015-02-05,12.86000
2015-02-06,23.26000
2015-02-07,22.89000
2015-02-08,29.83000
2015-02-09,48.30000
2015-02-10,73.17000
2015-02-11,58.88000
2015-02-12,6.43000
2015-02-13,7.96000
2015-02-14,22.80000
2015-02-15,19.75000
2015-02-16,12.26000
2015-02-17,9.48000
2015-02-18,7.48000
2015-02-19,124.64000
2015-02-20,7.77000
2015-02-21,11.08000
2015-02-22,9.52000
2015-02-23,11.66000
2015-02-24,9.05000
2015-02-25,7.20000
2015-02-26,6.43000
2015-02-27,7.70000
2015-02-28,11.29000
2015-03-01,9.64000
2015-03-02,11.78000
2015-03-03,8.99000
2015-03-04,7.38000
2015-03-05,6.47000
2015-03-06,7.73000
2015-03-07,11.21000
2015-03-08,9.75000
2015-03-09,47.28000
2015-03-10,8.94000
2015-03-11,7.28000
2015-03-12,6.36000
2015-03-13,7.62000
2015-03-14,11.33000
2015-03-15,9.60000
2015-03-16,11.81000
2015-03-17,8.96000
2015-03-18,29.26000
2015-03-19,19.73000
2015-03-20,31.01000
2015-03-21,11.59000
2015-03-22,48.66000
2015-03-23,47.18000
2015-03-24,26.92000
2015-03-25,14.45000
2015-03-26,6.42000
2015-03-27,7.54000
2015-03-28,88.69000
2015-03-29,18.47000
2015-03-30,11.96000
2015-03-31,9.11000
2015-04-01,7.30000
2015-04-02,45.55000
2015-04-03,39.48000
2015-04-04,179.95000
2015-04-05,96.80000
2015-04-06,49.33000
2015-04-07,35.17000
2015-04-08,7.23000
2015-04-09,6.30000
2015-04-10,7.73000
2015-04-11,22.34000
2015-04-12,28.73000
2015-04-13,22.61000
2015-04-14,26.30000
2015-04-15,14.27000
2015-04-16,6.23000
2015-04-17,7.64000
2015-04-18,22.70000
2015-04-19,19.03000
2015-04-20,11.31000
2015-04-21,8.73000
2015-04-22,6.93000
2015-04-23,6.29000
2015-04-24,7.49000
2015-04-25,45.57000
2015-04-26,9.72000
2015-04-27,11.46000
2015-04-28,8.84000
2015-04-29,7.28000
2015-04-30,19.44000
2015-05-01,7.59000
2015-05-02,11.36000
2015-05-03,38.67000
